2026-08-03 21:41:46 | INFO     | nmd | Starting NMD application...
2026-08-03 21:41:46 | INFO     | nmd | Database initialized (data/nmd.db).
2026-08-03 21:41:48 | INFO     | nmd | Developer 4 page 'custom_scan' registered automatically.
2026-08-03 21:41:48 | INFO     | nmd | Developer 4 page 'logs' registered automatically.
2026-08-03 21:41:48 | WARNING  | nmd | Nmap binary not found: scanning controls are disabled.
2026-08-03 21:41:48 | INFO     | nmd | Launching GUI main window.
2026-08-03 21:42:05 | INFO     | nmd | Starting custom scan on target '192.168.0.0/24' (args: '-sn', ports: '1-1024')
2026-08-03 21:42:05 | ERROR    | nmd | Nmap execution error during scan: 'nmap program was not found in path. PATH is : C:\\Users\\HP\\Desktop\\netwkscan\\venv\\Scripts;C:\\Users\\HP\\Downloads\\ORACLE19\\bin;C:\\Program Files\\Common Files\\Oracle\\Java\\javapath;C:\\WINDOWS\\system32;C:\\WINDOWS;C:\\WINDOWS\\System32\\Wbem;C:\\WINDOWS\\System32\\WindowsPowerShell\\v1.0\\;C:\\WINDOWS\\System32\\OpenSSH\\;C:\\Program Files\\Git\\cmd;C:\\Program Files\\PuTTY\\;C:\\Users\\HP\\AppData\\Local\\Microsoft\\WindowsApps;C:\\Users\\HP\\AppData\\Local\\Programs\\Microsoft VS Code\\bin;C:\\msys64\\ucrt64\\bin;C:\\MinGW\\bin;C:\\maven\\apache-maven-3.9.15\\bin;C:\\maven\\apache-maven-3.9.15\\bin;C:\\Program Files\\nodejs\\;C:\\Users\\HP\\AppData\\Local\\Programs\\Python\\Python314\\Scripts\\;C:\\Users\\HP\\AppData\\Local\\Programs\\Python\\Python314\\;C:\\Users\\HP\\AppData\\Local\\Programs\\Python\\Launcher\\;C:\\Program Files\\MySQL\\MySQL Shell 8.0\\bin\\;C:\\Users\\HP\\AppData\\Local\\Microsoft\\WindowsApps;C:\\Users\\HP\\AppData\\Local\\Programs\\Microsoft VS Code\\bin;C:\\msys64\\ucrt64\\bin;C:\\MinGW\\bin;C:\\maven\\apache-maven-3.9.15\\bin;C:\\Users\\HP\\AppData\\Roaming\\npm;C:\\Users\\HP\\AppData\\Local\\Programs\\Antigravity\\bin;C:\\Users\\HP\\AppData\\Local\\Programs\\cursor\\resources\\app\\bin;C:\\Users\\HP\\AppData\\Local\\Programs\\Devin\\bin'
2026-08-03 21:42:05 | INFO     | nmd | Scan on '192.168.0.0/24' completed in 0.01s. Found 0 host(s).
2026-08-03 21:42:05 | INFO     | nmd | Configuration successfully saved to C:\Users\HP\Desktop\netwkscan\data\config.json.
2026-08-03 21:42:32 | INFO     | nmd | Starting custom scan on target '192.168.0.0/24' (args: '-sn -sV -O', ports: '1-1024')
